,neigh,tree,naive,rule
0,0.6486486486486487,0.6023166023166023,0.8378378378378378,0.5135135135135135
1,0.637065637065637,0.6911196911196911,0.8841698841698842,0.44015444015444016
2,0.640926640926641,0.6525096525096525,0.25096525096525096,0.38996138996138996
3,0.5791505791505791,0.6061776061776062,0.8301158301158301,0.555984555984556
4,0.5930232558139535,0.6511627906976745,0.7674418604651163,0.4689922480620155
5,0.6434108527131783,0.5348837209302325,0.3875968992248062,0.4418604651162791
6,0.5891472868217055,0.6201550387596899,0.7906976744186046,0.7790697674418605
7,0.6356589147286822,0.6162790697674418,0.8333333333333334,0.5891472868217055
8,0.627906976744186,0.5813953488372093,0.2441860465116279,0.375968992248062
9,0.6821705426356589,0.6434108527131783,0.875968992248062,0.5465116279069767
